GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D028,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D044,D045,D046,D047,D048,D049
1000000US484230010002020,484230010002020,"Block 2020, Block Group 2, Census Tract 10, Smith County, Texas",27,11,0,1,1,0,0,0,0,1,0,1,2,1,1,1,0,0,1,0,1,0,0,0,0,16,0,1,0,2,0,0,0,1,4,1,1,1,2,1,0,1,0,0,1,0,0,0,0
1000000US484230010002021,484230010002021,"Block 2021, Block Group 2, Census Tract 10, Smith County, Texas",9,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1000000US484230010002022,484230010002022,"Block 2022, Block Group 2, Census Tract 10, Smith County, Texas",55,28,0,4,2,0,1,1,0,0,0,0,0,1,3,5,3,1,0,0,0,2,1,4,0,27,1,1,3,2,0,0,0,0,0,0,0,3,3,5,3,0,1,0,0,1,3,1,0
1000000US484230010002023,484230010002023,"Block 2023, Block Group 2, Census Tract 10, Smith County, Texas",9,6,0,0,0,2,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1000000US484230010002024,484230010002024,"Block 2024, Block Group 2, Census Tract 10, Smith County, Texas",15,9,0,0,3,1,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0
1000000US484230010002025,484230010002025,"Block 2025, Block Group 2, Census Tract 10, Smith County, Texas",11,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,6,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
1000000US484230010002026,484230010002026,"Block 2026, Block Group 2, Census Tract 10, Smith County, Texas",14,5,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,2
1000000US484230010002027,484230010002027,"Block 2027, Block Group 2, Census Tract 10, Smith County, Texas",9,5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1000000US484230010002028,484230010002028,"Block 2028, Block Group 2, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010002029,484230010002029,"Block 2029, Block Group 2, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010003000,484230010003000,"Block 3000, Block Group 3, Census Tract 10, Smith County, Texas",186,96,9,6,7,6,4,1,1,8,6,7,6,7,6,6,9,0,1,1,2,1,1,0,1,90,1,8,9,3,5,1,1,6,7,3,7,7,12,6,4,1,3,1,1,1,1,1,1
1000000US484230010003001,484230010003001,"Block 3001, Block Group 3, Census Tract 10, Smith County, Texas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000000US484230010003002,484230010003002,"Block 3002, Block Group 3, Census Tract 10, Smith County, Texas",15,7,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0
